seed_question,updated_question,verification_criterion,result,strategy,source,seed_bloom_level,seed_bloom_rationale,updated_bloom_level,updated_bloom_rationale
"""Etude des déterminants de la viabilité des fonds de retraite des fonctionnaires dans l'espace UEMOA : Cas du Fonds National des Retraites du Bénin (FNRB)""",Comment les critères de convergence macroéconomique de l'UEMOA modifient-ils les déterminants actuariels classiques de la viabilité du FNRB par rapport à un fonds de retraite hors contrainte budgétaire supranationale ?,"The answer must explicitly identify at least two UEMOA convergence criteria (naming the specific deficit or debt thresholds) and explain how each one mechanistically constrains a distinct actuarial lever (e.g., the 3% deficit ceiling limits government ability to cover shortfalls, forcing higher contribution rates or benefit cuts; the debt ceiling weakens implicit guarantees, raising discount rates for liability valuation). Fails if it lists UEMOA rules and actuarial factors separately without causally linking them, or if it treats FNRB viability identically to a pension fund in a fiscally unconstrained country.",PASSED,Require synthesis across clearly disjoint literatures (actuarial pension modeling + UEMOA macroeconomic constraints + civil service labor market) and multi-step reasoning about how their interaction defines viability differently than in a non-constrained context.,question_pairs,Analyze,"The question requires examining and drawing connections among various factors (determinants) that affect the viability of civil servant pension funds, comparing them within the UEMOA region with specific focus on Benin's FNRB.",Analyze,"The question requires drawing connections between UEMOA macroeconomic convergence criteria and classical actuarial determinants of pension fund sustainability, comparing two different regulatory contexts to identify how one modifies the other."
"""Etude des déterminants de la viabilité des fonds de retraite des fonctionnaires dans l'espace UEMOA : Cas du Fonds National des Retraites du Bénin (FNRB)""","Les critères de convergence de l'UEMOA contraignent-ils effectivement la viabilité du FNRB, étant donné le non-respect systématique de ces seuils par le Bénin ?","The answer must show that its OWN cited sources contain the contradiction (some documenting UEMOA convergence criteria as binding constraints on member states, others documenting Benin's systematic non-compliance with these same thresholds) and then explicitly resolve it by explaining whether and under what conditions the criteria actually constrain FNRB viability decisions. The resolution must address at least two of: (1) enforcement mechanisms (sanctions, WAEMU surveillance), (2) de facto fiscal space despite formal breaches, (3) whether FNRB reforms correlate with formal compliance or actual budget crises. Fails if it asserts constraints are binding without acknowledging non-compliance, lists rules and violations separately without reconciling them, or treats the question as purely theoretical without engaging Benin's actual compliance record.",FAILED,"Require reconciliation of conflicting evidence between UEMOA's formal convergence framework and empirical studies showing systematic non-compliance, forcing the system to reason about which constraints actually bind FNRB viability versus which are nominal.",question_pairs,Analyze,"The question requires examining and drawing connections among various factors (determinants) that affect the viability of civil servant pension funds, comparing them within the UEMOA context, and investigating their relationships in the specific case of Benin's FNRB.",Evaluate,"The question requires judging whether UEMOA convergence criteria effectively constrain the viability of FNRB given Benin's systematic non-compliance, demanding critical assessment of the relationship between policy constraints and institutional sustainability."
scapholunate,Why do reported outcomes for scapholunate ligament reconstruction conflict across surgical techniques?,"The answer must show that its OWN cited sources report conflicting scapholunate reconstruction outcomes (e.g., some reporting >80% good/excellent results, others reporting <50% satisfactory outcomes or high failure rates for the same or comparable techniques) AND attribute the conflict to at least two concrete confounds such as: injury chronicity (acute vs chronic), static vs dynamic instability, outcome measure heterogeneity (radiographic vs functional vs pain), follow-up duration, or DISI deformity severity. Fails if it presents a uniform success verdict, or if the cited papers do not actually report conflicting outcomes, or if it names only generic 'patient factors' without specifying measurable confounds.",FAILED,Require reconciliation of conflicting evidence: force the system to explain WHY reported surgical outcomes for scapholunate injury disagree rather than just enumerate techniques and their results.,question_pairs,Remember,"The single-word prompt ""scapholunate"" requires recalling and defining a basic anatomical term or concept without any higher-order cognitive processing.",Analyze,"The question requires drawing connections among multiple ideas by examining different surgical techniques, comparing their reported outcomes, and identifying the underlying reasons for conflicts or discrepancies in the literature."
"Related Concepts and Variables:
   - What key concepts and variables are associated with job performance based on person-job fit?
   - How are these concepts and variables interrelated?
-Which of these frameworks have been most widely applied?","What key concepts and variables link person-job fit to job performance, and why do studies using different fit operationalizations report conflicting effect sizes?","The answer must show that its OWN cited sources report different effect sizes for different person-job fit operationalizations (e.g., demands-abilities fit vs. needs-supplies fit vs. supplementary/value-congruence fit predicting performance), and explain at least one concrete methodological or conceptual reason for the divergence—such as criterion type (objective vs. subjective performance), common-method variance when predictor and criterion share a source, or that DA fit predicts task performance while NS fit predicts contextual performance/retention. Fails if it treats 'person-job fit' as monolithic, lists operationalizations without showing they yield different validities, or does not attribute the conflict to specific study-design or construct-definition factors.",FAILED,"Require reconciliation of conflicting evidence: force the system to explain WHY different operationalizations of person-job fit yield different predictive validities for job performance, rather than just cataloging them.",question_pairs,Analyze,"The question requires drawing connections among ideas by identifying key concepts, examining their interrelationships, and comparing the application of different frameworks in the context of person-job fit and job performance.",Analyze,"The question requires drawing connections between multiple ideas (person-job fit, job performance, operationalizations, and effect sizes) and examining why different methodological approaches produce conflicting results."
kiến thức của người dân tộc thiểu số về các biện pháp phòng tránh thai,Kiến thức về các biện pháp phòng tránh thai ở người dân tộc thiểu số làm giảm tỷ lệ mang thai ngoài ý muốn như thế nào?,"The answer must explicitly address whether its own cited sources establish a CAUSAL link from contraceptive knowledge to reduced unintended pregnancy rates among ethnic minorities, or whether the evidence is correlational/associational. It must identify at least one major confound that complicates causal inference, such as healthcare access, cultural acceptability of contraception, partner decision-making power, or economic barriers. Fails if it describes knowledge levels and pregnancy rates as though the causal relationship is straightforward or proven, without distinguishing between knowing-about-methods versus having-access-to-methods or between knowledge and behavior change.",PASSED,False premise via conflating knowledge-of-methods with causal-effect-of-knowledge-on-behavior. The Vietnamese phrasing can remain (testing cross-lingual retrieval) while the reasoning trap targets the distinction between measuring existing knowledge versus proving that knowledge interventions causally reduce unintended pregnancies - two concepts that literature addresses separately but whose conflation creates a premise no source explicitly refutes.,question_pairs,Understand,"The question asks about the knowledge that ethnic minorities have regarding contraceptive methods, which requires explaining and describing their understanding of this topic.",Analyze,"The question requires examining the relationship between contraceptive knowledge among ethnic minorities and unintended pregnancy rates, drawing connections between these variables to explain how one affects the other."
kiến thức của người dân tộc thiểu số về các biện pháp phòng tránh thai,"Tại sao có sự chênh lệch kiến thức về phương pháp tránh thai giữa dân tộc thiểu số và dân tộc đa số, và yếu tố nào đóng vai trò quan trọng nhất?","The answer must explicitly state that existing research on ethnic minority contraceptive knowledge identifies multiple associated factors (educational access, language barriers, cultural norms, healthcare system factors) but does NOT establish which is causally primary or most important, because the evidence is observational and these factors are confounded. It must cite sources showing these associations but acknowledge that none provide controlled comparisons or effect-size rankings that would justify declaring one factor 'most important.' Fails if it confidently asserts one factor as most important without this qualification, or if it ranks factors as though causal primacy were established.",FAILED,"Require causal mechanism synthesis across multiple confounded factors (educational access, cultural norms, language barriers, health system factors) where the literature documents associations but does not isolate individual causal contributions, making the question partially unanswerable without overreaching.",question_pairs,Understand,"The question asks about the knowledge that ethnic minorities have regarding contraceptive methods, which requires explaining and describing their understanding of this topic.",Analyze,"The question requires drawing connections between multiple factors (ethnicity, knowledge disparities, and various contributing elements) and identifying which factor plays the most important role in explaining the knowledge gap about contraceptive methods."
“Is physical education fully implemented in multi-grade classrooms?”,Why do some studies report successful PE implementation in multi-grade classrooms while others document persistent barriers?,"The answer must show that its OWN cited sources disagree (some reporting successful/functional multi-grade PE implementation, others reporting failure/barriers), and attribute the conflict to at least two concrete moderating factors such as teacher training level, equipment/facility availability, class size ratio, curriculum flexibility, or policy support. Fails if it presents a uniform verdict, or if the papers it cites do not actually report contradictory implementation outcomes.",FAILED,Require reconciliation of conflicting evidence: force the system to explain WHY reported implementation success/failure varies across studies rather than simply cataloging diverse cases.,question_pairs,Evaluate,"The question requires making a judgment about the degree of implementation of physical education in multi-grade classrooms, which involves assessing evidence against criteria for ""full implementation.""",Analyze,"The question requires drawing connections between different research findings, comparing contrasting outcomes, and examining the factors that differentiate successful from unsuccessful implementations."
What are the differences and similarity between information foraging theory and exploratory search?,Are the similarities between information foraging theory and exploratory search substantive or superficial at the theoretical level?,"The answer must take a clear evaluative stance (substantive, superficial, or mixed with specifics) and justify it by comparing what the TWO frameworks PREDICT or EXPLAIN mechanistically, not just listing shared vocabulary. It must cite sources on BOTH frameworks and explicitly assess whether they make convergent testable predictions (e.g., about cost-benefit tradeoffs, stopping rules, or navigation strategies) or merely use similar metaphors for distinct phenomena. Fails if it only lists surface features ('both involve search') without evaluating theoretical convergence, or if it discusses only one framework.",PASSED,"Require theoretical-level evaluation: force the system to assess whether apparent similarities are substantive (shared mechanisms/predictions) or merely superficial (shared terminology/metaphors), which demands reasoning about theoretical commitments rather than listing features.",question_pairs,Analyze,The question requires drawing connections between two distinct concepts by comparing and contrasting their characteristics to identify both differences and similarities.,Evaluate,"The question requires making a judgment about the depth and quality of theoretical similarities between two frameworks, which demands critical appraisal and justification of whether connections are meaningful or merely surface-level."
What are the differences and similarity between information foraging theory and exploratory search?,"When modeling ill-defined exploratory search tasks, do information foraging theory's optimality assumptions conflict with the sensemaking perspective, and if so, how should they be reconciled?","The answer must identify and take a stance on a specific conflict between IFT's optimality/rationality assumptions (fixed preferences, calculable costs/benefits, maximizing returns) and exploratory search's sensemaking framing (goals emerge/evolve during search, success is ill-defined, understanding rather than resource-gathering). It must cite sources on BOTH traditions and explicitly argue either: (a) they conflict and cannot both apply to the same ill-defined task, naming what would have to give; or (b) they can be reconciled by modifying assumptions, specifying HOW (e.g., dynamic utility functions, satisficing instead of optimizing). Fails if it treats them as straightforwardly compatible complementary perspectives without acknowledging tension in their foundational assumptions about goal-stability and rationality.",PASSED,"Require reconciliation of implicit disciplinary conflict: force the system to explain how IFT's optimality assumptions (resource-maximizing, clear utility functions) conflict with exploratory search's sensemaking framing (evolving goals, no fixed utility), and what this means for applying both to the same scenario.",question_pairs,Analyze,The question requires drawing connections between two distinct concepts by comparing and contrasting their characteristics to identify both differences and similarities.,Evaluate,"The question requires judging whether two theoretical frameworks conflict, assessing the validity of their assumptions in a specific context, and determining how to reconcile potential contradictions—all of which demand critical evaluation and justification."
What are the differences and similarity between information foraging theory and exploratory search?,"Did information foraging theory's formal models causally shape the conceptual development of exploratory search, or did they emerge independently to describe overlapping phenomena?","The answer must take a clear stance (causal influence, independent emergence, or mixed with specifics) justified by at least three types of evidence from its cited sources: (1) chronological precedence establishing which tradition's key concepts appeared first (name specific papers and years for IFT's patch models/information scent AND exploratory search's early formulations); (2) direct citation evidence showing whether foundational exploratory search papers (e.g., Marchionini, White & Roth) actually cite IFT work; and (3) concept-tracing showing whether exploratory search adopted IFT-specific terminology (patch, scent, cost-benefit foraging) or developed parallel vocabulary independently. Fails if it asserts influence or independence without providing all three evidence types, or if it treats shared vocabulary as proof of causation without checking whether early exploratory search sources actually reference IFT.",FAILED,"Require causal reasoning about intellectual influence that isn't explicitly documented: force the system to trace whether IFT concepts causally shaped exploratory search's development or whether they emerged independently, which requires inferring from citation patterns, chronology, and concept adoption rather than retrieving pre-packaged influence claims.",question_pairs,Analyze,The question requires drawing connections between two distinct concepts by comparing and contrasting their characteristics to identify both differences and similarities.,Evaluate,The question requires judging the causal relationship between two theoretical frameworks by weighing historical evidence and assessing whether one influenced the other or they developed independently.
marine risers,Why do flexible marine risers that enable ultra-deepwater drilling inherently worsen vortex-induced vibration fatigue?,"The answer must explicitly state that flexibility (reduced bending stiffness) increases VIV susceptibility by lowering natural frequencies and enabling resonance/lock-in with vortex shedding frequencies, thereby worsening fatigue — not just list flexibility and VIV as separate concerns. It must frame this as a mechanical tradeoff: the property that makes flexible risers viable for deepwater (compliance to vessel motion) is the SAME property that amplifies VIV oscillations. Fails if it only describes flexible risers and VIV mitigation as independent topics, or if it does not explain the stiffness-frequency-resonance causal chain linking flexibility to VIV fatigue.",PASSED,"Require reasoning about implicit tradeoffs between separately-documented design objectives: the system must recognize that optimizing one well-studied riser property (e.g., flexibility for deepwater installation) inherently worsens another (e.g., VIV susceptibility, fatigue resistance) even though no single source frames this as a direct conflict.",question_pairs,Remember,"The question ""marine risers"" appears to be asking for basic recall of what marine risers are, requiring only the definition or description of this concept without deeper analysis or application.",Analyze,"The question requires drawing connections between the physical properties of flexible marine risers (flexibility, length) and their effects on vortex-induced vibration dynamics, examining the causal relationship between design characteristics and fatigue outcomes."
marine risers,How does increasing marine riser wall thickness suppress vortex-induced vibration amplitude by enhancing structural damping?,"The answer must REJECT the premise that structural damping is the primary mechanism by which wall thickness suppresses VIV. It must state that: (1) structural damping in steel risers is very low (typically <1% critical damping ratio) and dwarfed by hydrodynamic damping; (2) wall thickness primarily affects VIV amplitude through MASS RATIO (increasing structural mass relative to displaced fluid mass) and changes to NATURAL FREQUENCY, which shift the reduced velocity parameter and lock-in range; and (3) these mass/frequency effects dominate over any damping increase. Fails if it describes structural damping as the main or a major pathway for thickness to control VIV, or if it answers as though the premise were mechanically sound.",FAILED,"False premise via mechanically plausible but causally incorrect conjunction: assert that a design change (increased wall thickness) controls VIV through a mechanism (structural damping) that exists but is NOT the dominant pathway, when the true mechanism (mass ratio and natural frequency shift) is separately documented but not framed as refuting this damping-centric claim.",question_pairs,Remember,"The question ""marine risers"" appears to be asking for basic recall of what marine risers are, requiring the answerer to define or describe this term without deeper analysis or application.",Understand,"The question asks the learner to explain the mechanism by which increasing wall thickness affects vortex-induced vibration through structural damping, requiring explanation of the relationship between these concepts."
"importance of prompt engineering in software engineering with various tools for 'vibe coding' or AI coding like windsurf, cursor, aider, github copilot , replit, lovable, bolt etc","When does prompt engineering provide the least marginal value across AI coding tools like Copilot, Cursor, Aider, and autonomous agents like Replit, and why?","The answer must identify at least two distinct scenarios where prompt engineering yields LOW marginal value by reasoning from cited tool architectures or workflows: e.g., (1) completion-based tools on highly-constrained boilerplate tasks where context suffices, or (2) autonomous agent workflows where the tool's built-in planning reduces prompt sensitivity, or (3) expert users whose code provides sufficient signal that elaborate prompts add little. Fails if it uniformly argues prompt engineering is always critical, or if it lists scenarios without connecting them to specific cited architectural differences (completion vs. chat vs. agentic) that mechanistically explain reduced prompt dependence.",PASSED,"Require multi-dimensional trade-off reasoning: force the system to identify when prompt engineering provides minimal marginal value by reasoning across tool architectures (completion vs. chat vs. autonomous agents), task types, and user skill levels—a synthesis no single source performs.",question_pairs,Evaluate,"The question requires judging and justifying the significance of prompt engineering in the context of AI-assisted coding tools, which involves assessing value and importance based on criteria.",Evaluate,"The question requires judging when prompt engineering provides least value across different AI tools, demanding critical assessment of trade-offs, contexts, and justification of conditions where diminishing returns occur."
"importance of prompt engineering in software engineering with various tools for 'vibe coding' or AI coding like windsurf, cursor, aider, github copilot , replit, lovable, bolt etc","What is the isolated causal effect of prompt engineering skill on productivity with tools like Copilot and Cursor, holding constant user programming expertise, task difficulty, and base tool capability?","The answer must EXPLICITLY state that current research cannot establish this isolated causal effect because existing studies are observational and confound prompt engineering skill with at least two of: (1) baseline user programming expertise, (2) task difficulty or selection bias, (3) tool capability differences across versions/tools, or (4) user learning over time. It must explain why these confounds prevent causal attribution and name the specific missing experimental design (e.g., randomized controlled trial varying only prompt quality). Fails if it asserts a confident causal answer to the question, presents correlational findings as causal evidence, or implies existing productivity studies resolve the isolation problem.",FAILED,"Make the question unanswerable by requiring causal isolation that current research has not established: force the system to identify the causal contribution of prompt engineering skill versus other confounded factors (base tool capability, user expertise, task selection) that existing observational studies of AI coding tools do not cleanly separate.",question_pairs,Evaluate,"The question requires judging and justifying the importance (value/significance) of prompt engineering in the context of AI-assisted coding tools, which demands critical assessment and evaluation of its role.",Analyze,"The question requires drawing connections between multiple variables (prompt engineering skill, productivity, programming expertise, task difficulty, tool capability) and isolating the specific causal relationship between one independent variable and the outcome while controlling for confounds."
Literature review on geopolitical risk and trade,Under what conditions does geopolitical risk increase rather than decrease bilateral trade flows?,"The answer must cite sources documenting BOTH negative and positive effects of geopolitical risk on bilateral trade, and specify at least three concrete conditions that determine which effect dominates—such as availability of substitute partners, strategic commodity classification, alliance/bloc membership, or sanction scope. Fails if it presents only the standard negative-gravity result without acknowledging trade-diversion/friend-shoring evidence, or if it lists both effects without articulating the conditions under which each occurs.",PASSED,"Require synthesis of contradictory documented effects into a unified conditional framework: force the system to specify when geopolitical risk reduces vs. increases trade, which requires reasoning beyond retrieving separate findings.",question_pairs,Create,"Conducting a literature review requires synthesizing existing research, identifying patterns and gaps, and producing an original analytical work that organizes and evaluates the scholarly landscape on geopolitical risk and trade.",Analyze,"The question requires examining the relationship between geopolitical risk and trade flows, identifying conditions and patterns, and drawing connections between variables to determine when the typical negative relationship reverses."
Literature review on geopolitical risk and trade,"Do geopolitical-risk indices conflate distinct causal mechanisms, and does this measurement problem explain why trade effects are heterogeneous across studies?","The answer must explicitly state that standard geopolitical-risk indices (e.g., Caldara-Iacoviello GPR index) aggregate multiple distinct phenomena such as war threats, sanctions, policy uncertainty, or alliance breakdown, AND must argue—using cited evidence—that at least two of these subcomponents have theoretically opposing effects on trade (e.g., sanctions reduce trade with targets but policy uncertainty may reduce diversification costs). It must then evaluate whether the heterogeneous trade findings across studies arise because different samples/periods capture different dominant subcomponents. Fails if it treats 'geopolitical risk' as a unitary construct without questioning index composition, or if it lists heterogeneous findings without linking them to what the index actually measures.",PASSED,"Require meta-level reasoning about measurement validity: force the system to evaluate whether geopolitical-risk indices conflate distinct mechanisms and whether that conflation explains heterogeneous trade findings, which requires critique of the literature's own independent variable rather than synthesizing its results.",question_pairs,Create,"Conducting a literature review requires synthesizing existing research, identifying patterns and gaps, and producing an original analytical work that organizes and evaluates the scholarly landscape on geopolitical risk and trade.",Evaluate,"The question requires judging whether a measurement problem (conflation of causal mechanisms) adequately explains observed heterogeneity in research findings, which demands critical appraisal of both the validity of indices and the sufficiency of an explanation."
